Acceleration,Velocity,Orientation,Obstacle,GPS
"[-0.010948867, 0.0141816735, -0.017071724]","[8.27667, -3.8020234, 1.5088904]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.017267227, 0.028642118, -0.01305294]","[8.27133, -3.8142915, 1.5101738]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.007836401, -0.027789176, 0.0057048798]","[8.26538, -3.8277824, 1.5180947]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.001224041, -0.020757318, 0.01047802]","[8.26614, -3.8263419, 1.5076407]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.035429344, -0.025163054, 0.012640953]","[8.26633, -3.8257358, 1.5133691]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.014063984, 0.0053723454, 0.02229023]","[8.27191, -3.8128378, 1.5125847]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.06847796, -0.03199047, -0.004020691]","[8.27341, -3.8092504, 1.5176444]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.009748131, 0.006277323, -0.03470993]","[8.268555, -3.8206692, 1.5131086]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0008870959, -0.012035549, 0.016336441]","[8.26367, -3.831615, 1.5210527]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0072121024, 0.007676959, 0.0152282715]","[8.259094, -3.842414, 1.5154849]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.013773322, -0.026826799, 0.0005970001]","[8.255554, -3.8506138, 1.5128238]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.00045073032, 0.0014263988, 0.003186226]","[8.261475, -3.8368442, 1.5176392]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.02513069, -0.004566908, -0.010890007]","[8.257385, -3.8461287, 1.5208993]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
